Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region
1/15/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,525",190,1335,702.6315789,New York
1/15/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,661",190,1471,774.2105263,Texas
1/15/18,Off White,Air Force 1 Low Off White,615,170,445,261.7647059,California
1/15/18,Off White,Air Force 1 Low Off White,625,170,455,267.6470588,Texas
1/15/18,Off White,Air Max 97 Off White,750,190,560,294.7368421,Michigan
1/15/18,Off White,Air Max 97 Off White,620,190,430,226.3157895,Massachusetts
1/15/18,Off White,Air Presto Off White,"1,150",160,990,618.75,California
1/15/18,Off White,Air VaporMax Off White,805,250,555,222,Pennsylvania
1/15/18,Off White,Blazer Mid Off White,660,130,530,407.6923077,Illinois
1/15/18,Off White,Blazer Mid Off White,690,130,560,430.7692308,Colorado
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,450,200,250,125,New Jersey
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,360,200,160,80,New York
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,399,200,199,99.5,Kansas
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,431,200,231,115.5,North Carolina
1/15/18,Off White,Zoom Fly Off White,385,170,215,126.4705882,New York
1/16/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,725",190,1535,807.8947368,Georgia
1/16/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,555",190,1365,718.4210526,Pennsylvania
1/16/18,Off White,Air Max 97 Off White,610,190,420,221.0526316,Arizona
1/16/18,Off White,Air Max 97 Off White,609,190,419,220.5263158,Utah
1/16/18,Off White,Air Presto Off White,"1,150",160,990,618.75,California
1/16/18,Off White,Air Presto Off White,950,160,790,493.75,California
1/16/18,Off White,Air VaporMax Off White,870,250,620,248,Virginia
1/16/18,Off White,Blazer Mid Off White,700,130,570,438.4615385,Utah
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,405,200,205,102.5,Ohio
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,400,200,200,100,Connecticut
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,435,200,235,117.5,Texas
1/16/18,Off White,Zoom Fly Off White,500,170,330,194.1176471,Washington
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,700",190,1510,794.7368421,Colorado
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,403",190,1213,638.4210526,Arizona
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,510",190,1320,694.7368421,New York
1/17/18,Off White,Air Force 1 Low Off White,686,170,516,303.5294118,Idaho
1/17/18,Off White,Air Max 90 Off White,681,160,521,325.625,California
1/17/18,Off White,Air Max 97 Off White,620,190,430,226.3157895,Georgia
1/17/18,Off White,Air Max 97 Off White,620,190,430,226.3157895,New Hampshire
1/17/18,Off White,Air Presto Off White,961,160,801,500.625,Arizona
1/17/18,Off White,Air Presto Off White,"1,080",160,920,575,California
1/17/18,Off White,Air VaporMax Off White,770,250,520,208,New York
1/17/18,Off White,Air VaporMax Off White,875,250,625,250,South Carolina
1/17/18,Off White,Blazer Mid Off White,725,130,595,457.6923077,Georgia
1/17/18,Off White,Blazer Mid Off White,702,130,572,440,California
1/17/18,Off White,Blazer Mid Off White,700,130,570,438.4615385,New Hampshire
1/17/18,Off White,React Hyperdunk 2017 Flyknit Off White,451,200,251,125.5,New Jersey
1/17/18,Off White,React Hyperdunk 2017 Flyknit Off White,440,200,240,120,West Virginia
1/17/18,Off White,Zoom Fly Off White,550,170,380,223.5294118,Florida
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,550",190,1360,715.7894737,Oklahoma
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,575",190,1385,728.9473684,New York
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,560",190,1370,721.0526316,California
1/18/18,Off White,Air Force 1 Low Off White,721,170,551,324.1176471,Florida
1/18/18,Off White,Air Force 1 Low Off White,710,170,540,317.6470588,Pennsylvania
1/18/18,Off White,Air Max 90 Off White,530,160,370,231.25,Ohio
1/18/18,Off White,Air Max 90 Off White,630,160,470,293.75,New Jersey
1/18/18,Off White,Air Max 97 Off White,610,190,420,221.0526316,California
1/18/18,Off White,Air Max 97 Off White,639,190,449,236.3157895,Pennsylvania
1/18/18,Off White,Air Max 97 Off White,639,190,449,236.3157895,California
1/18/18,Off White,Air Presto Off White,960,160,800,500,South Carolina
1/18/18,Off White,Air Presto Off White,"1,000",160,840,525,New Mexico
1/18/18,Off White,Air Presto Off White,"1,319",160,1159,724.375,New Jersey
1/18/18,Off White,Air VaporMax Off White,792,250,542,216.8,California
