Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region,brand,Order,sneaker,sale_average
1/15/18,Off White,Air Jordan 1 Retro High Off White Chicago,1525,190,1335.0,702.6315789,New York,Mixed,,,
1/15/18,Off White,Air Jordan 1 Retro High Off White Chicago,1661,190,1471.0,774.2105263,Texas,Mixed,,,
1/15/18,Off White,Air Force 1 Low Off White,615,170,445.0,261.7647059,California,Mixed,,,
1/15/18,Off White,Air Force 1 Low Off White,625,170,455.0,267.6470588,Texas,Mixed,,,
1/15/18,Off White,Air Max 97 Off White,750,190,560.0,294.7368421,Michigan,Mixed,,,
1/15/18,Off White,Air Max 97 Off White,620,190,430.0,226.3157895,Massachusetts,Mixed,,,
1/15/18,Off White,Air Presto Off White,1150,160,990.0,618.75,California,Mixed,,,
1/15/18,Off White,Air VaporMax Off White,805,250,555.0,222.0,Pennsylvania,Mixed,,,
1/15/18,Off White,Blazer Mid Off White,660,130,530.0,407.6923077,Illinois,Mixed,,,
1/15/18,Off White,Blazer Mid Off White,690,130,560.0,430.7692308,Colorado,Mixed,,,
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,450,200,250.0,125.0,New Jersey,Mixed,,,
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,360,200,160.0,80.0,New York,Mixed,,,
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,399,200,199.0,99.5,Kansas,Mixed,,,
1/15/18,Off White,React Hyperdunk 2017 Flyknit Off White,431,200,231.0,115.5,North Carolina,Mixed,,,
1/15/18,Off White,Zoom Fly Off White,385,170,215.0,126.4705882,New York,Mixed,,,
1/16/18,Off White,Air Jordan 1 Retro High Off White Chicago,1725,190,1535.0,807.8947368,Georgia,Mixed,,,
1/16/18,Off White,Air Jordan 1 Retro High Off White Chicago,1555,190,1365.0,718.4210526,Pennsylvania,Mixed,,,
1/16/18,Off White,Air Max 97 Off White,610,190,420.0,221.0526316,Arizona,Mixed,,,
1/16/18,Off White,Air Max 97 Off White,609,190,419.0,220.5263158,Utah,Mixed,,,
1/16/18,Off White,Air Presto Off White,1150,160,990.0,618.75,California,Mixed,,,
1/16/18,Off White,Air Presto Off White,950,160,790.0,493.75,California,Mixed,,,
1/16/18,Off White,Air VaporMax Off White,870,250,620.0,248.0,Virginia,Mixed,,,
1/16/18,Off White,Blazer Mid Off White,700,130,570.0,438.4615385,Utah,Mixed,,,
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,405,200,205.0,102.5,Ohio,Mixed,,,
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,400,200,200.0,100.0,Connecticut,Mixed,,,
1/16/18,Off White,React Hyperdunk 2017 Flyknit Off White,435,200,235.0,117.5,Texas,Mixed,,,
1/16/18,Off White,Zoom Fly Off White,500,170,330.0,194.1176471,Washington,Mixed,,,
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,1700,190,1510.0,794.7368421,Colorado,Mixed,,,
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,1403,190,1213.0,638.4210526,Arizona,Mixed,,,
1/17/18,Off White,Air Jordan 1 Retro High Off White Chicago,1510,190,1320.0,694.7368421,New York,Mixed,,,
1/17/18,Off White,Air Force 1 Low Off White,686,170,516.0,303.5294118,Idaho,Mixed,,,
1/17/18,Off White,Air Max 90 Off White,681,160,521.0,325.625,California,Mixed,,,
1/17/18,Off White,Air Max 97 Off White,620,190,430.0,226.3157895,Georgia,Mixed,,,
1/17/18,Off White,Air Max 97 Off White,620,190,430.0,226.3157895,New Hampshire,Mixed,,,
1/17/18,Off White,Air Presto Off White,961,160,801.0,500.625,Arizona,Mixed,,,
1/17/18,Off White,Air Presto Off White,1080,160,920.0,575.0,California,Mixed,,,
1/17/18,Off White,Air VaporMax Off White,770,250,520.0,208.0,New York,Mixed,,,
1/17/18,Off White,Air VaporMax Off White,875,250,625.0,250.0,South Carolina,Mixed,,,
1/17/18,Off White,Blazer Mid Off White,725,130,595.0,457.6923077,Georgia,Mixed,,,
1/17/18,Off White,Blazer Mid Off White,702,130,572.0,440.0,California,Mixed,,,
1/17/18,Off White,Blazer Mid Off White,700,130,570.0,438.4615385,New Hampshire,Mixed,,,
1/17/18,Off White,React Hyperdunk 2017 Flyknit Off White,451,200,251.0,125.5,New Jersey,Mixed,,,
1/17/18,Off White,React Hyperdunk 2017 Flyknit Off White,440,200,240.0,120.0,West Virginia,Mixed,,,
1/17/18,Off White,Zoom Fly Off White,550,170,380.0,223.5294118,Florida,Mixed,,,
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,1550,190,1360.0,715.7894737,Oklahoma,Mixed,,,
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,1575,190,1385.0,728.9473684,New York,Mixed,,,
1/18/18,Off White,Air Jordan 1 Retro High Off White Chicago,1560,190,1370.0,721.0526316,California,Mixed,,,
1/18/18,Off White,Air Force 1 Low Off White,721,170,551.0,324.1176471,Florida,Mixed,,,
1/18/18,Off White,Air Force 1 Low Off White,710,170,540.0,317.6470588,Pennsylvania,Mixed,,,
1/18/18,Off White,Air Max 90 Off White,530,160,370.0,231.25,Ohio,Mixed,,,
1/18/18,Off White,Air Max 90 Off White,630,160,470.0,293.75,New Jersey,Mixed,,,
1/18/18,Off White,Air Max 97 Off White,610,190,420.0,221.0526316,California,Mixed,,,
1/18/18,Off White,Air Max 97 Off White,639,190,449.0,236.3157895,Pennsylvania,Mixed,,,
1/18/18,Off White,Air Max 97 Off White,639,190,449.0,236.3157895,California,Mixed,,,
1/18/18,Off White,Air Presto Off White,960,160,800.0,500.0,South Carolina,Mixed,,,
1/18/18,Off White,Air Presto Off White,1000,160,840.0,525.0,New Mexico,Mixed,,,
1/18/18,Off White,Air Presto Off White,1319,160,1159.0,724.375,New Jersey,Mixed,,,
1/18/18,Off White,Air VaporMax Off White,792,250,542.0,216.8,California,Mixed,,,
1/18/18,Off White,Air VaporMax Off White,666,250,416.0,166.4,Delaware,Mixed,,,
1/18/18,Off White,Blazer Mid Off White,685,130,555.0,426.9230769,Illinois,Mixed,,,
1/18/18,Off White,Blazer Mid Off White,745,130,615.0,473.0769231,California,Mixed,,,
1/18/18,Off White,React Hyperdunk 2017 Flyknit Off White,408,200,208.0,104.0,California,Mixed,,,
1/18/18,Off White,Zoom Fly Off White,531,170,361.0,212.3529412,California,Mixed,,,
1/18/18,Off White,Zoom Fly Off White,564,170,394.0,231.7647059,New York,Mixed,,,
1/19/18,Off White,Air Jordan 1 Retro High Off White Chicago,1480,190,1290.0,678.9473684,Florida,Mixed,,,
1/19/18,Off White,Air Jordan 1 Retro High Off White Chicago,1299,190,1109.0,583.6842105,Virginia,Mixed,,,
1/19/18,Off White,Air Force 1 Low Off White,706,170,536.0,315.2941176,Florida,Mixed,,,
1/19/18,Off White,Air Max 90 Off White,690,160,530.0,331.25,Texas,Mixed,,,
1/19/18,Off White,Air Max 90 Off White,625,160,465.0,290.625,Florida,Mixed,,,
1/19/18,Off White,Air Max 97 Off White,644,190,454.0,238.9473684,Illinois,Mixed,,,
1/19/18,Off White,Air Max 97 Off White,645,190,455.0,239.4736842,California,Mixed,,,
1/19/18,Off White,Air Max 97 Off White,615,190,425.0,223.6842105,Texas,Mixed,,,
1/19/18,Off White,Air Presto Off White,1030,160,870.0,543.75,Rhode Island,Mixed,,,
1/19/18,Off White,Air Presto Off White,1100,160,940.0,587.5,California,Mixed,,,
1/19/18,Off White,Air Presto Off White,1253,160,1093.0,683.125,New Hampshire,Mixed,,,
1/19/18,Off White,Air VaporMax Off White,875,250,625.0,250.0,District of Columbia,Mixed,,,
1/19/18,Off White,Air VaporMax Off White,611,250,361.0,144.4,Pennsylvania,Mixed,,,
1/19/18,Off White,Blazer Mid Off White,622,130,492.0,378.4615385,New York,Mixed,,,
1/19/18,Off White,React Hyperdunk 2017 Flyknit Off White,424,200,224.0,112.0,California,Mixed,,,
1/19/18,Off White,React Hyperdunk 2017 Flyknit Off White,406,200,206.0,103.0,Oregon,Mixed,,,
1/19/18,Off White,Zoom Fly Off White,425,170,255.0,150.0,California,Mixed,,,
1/19/18,Off White,Zoom Fly Off White,465,170,295.0,173.5294118,Michigan,Mixed,,,
1/20/18,Off White,Air Jordan 1 Retro High Off White Chicago,1630,190,1440.0,757.8947368,California,Mixed,,,
1/20/18,Off White,Air Jordan 1 Retro High Off White Chicago,1460,190,1270.0,668.4210526,New York,Mixed,,,
1/20/18,Off White,Air Force 1 Low Off White,785,170,615.0,361.7647059,California,Mixed,,,
1/20/18,Off White,Air Force 1 Low Off White,700,170,530.0,311.7647059,Virginia,Mixed,,,
1/20/18,Off White,Air Max 90 Off White,677,160,517.0,323.125,Virginia,Mixed,,,
1/20/18,Off White,Air Max 90 Off White,711,160,551.0,344.375,Oregon,Mixed,,,
1/20/18,Off White,Air Max 97 Off White,600,190,410.0,215.7894737,California,Mixed,,,
1/20/18,Off White,Air Max 97 Off White,624,190,434.0,228.4210526,New Jersey,Mixed,,,
1/20/18,Off White,Air Presto Off White,1230,160,1070.0,668.75,Illinois,Mixed,,,
1/20/18,Off White,Air Presto Off White,1290,160,1130.0,706.25,California,Mixed,,,
1/20/18,Off White,Air VaporMax Off White,810,250,560.0,224.0,New York,Mixed,,,
1/20/18,Off White,Air VaporMax Off White,799,250,549.0,219.6,California,Mixed,,,
1/20/18,Off White,Blazer Mid Off White,585,130,455.0,350.0,Ohio,Mixed,,,
1/20/18,Off White,Blazer Mid Off White,690,130,560.0,430.7692308,Texas,Mixed,,,
1/20/18,Off White,React Hyperdunk 2017 Flyknit Off White,420,200,220.0,110.0,California,Mixed,,,
