Buyer Region,avg_sale,count
Oklahoma,1550.0,1
Georgia,1190.0,4
Rhode Island,1030.0,1
New Mexico,1000.0,1
Arizona,991.3333333333334,3
Colorado,985.0,4
New York,958.1,10
South Carolina,917.5,2
Virginia,886.5,4
District of Columbia,875.0,1
Pennsylvania,864.0,5
Illinois,861.0,5
New Hampshire,857.6666666666666,3
California,829.3448275862069,29
Florida,783.2857142857143,7
Texas,733.0,7
New Jersey,710.6666666666666,6
Idaho,686.0,1
Delaware,666.0,1
Utah,654.5,2
Massachusetts,620.0,1
Michigan,607.5,2
Oregon,549.0,3
Connecticut,530.0,2
Ohio,506.6666666666667,3
Washington,500.0,1
West Virginia,440.0,1
North Carolina,431.0,1
Kansas,399.0,1
